NAME,median_household_income,total_poverty_determined,total_below_poverty,total_education_25plus,bachelors_degree,total_employment_16plus,in_labor_force,unemployed,median_home_value,median_gross_rent,total_occupied_housing,owner_occupied,renter_occupied,total_population,median_age,total_race,white_alone,black_alone,asian_alone,hispanic_or_latino,total_internet_hh,with_internet,state,county,tract,county_name,poverty_rate,unemployment_rate,homeownership_rate,internet_access_rate
Census Tract 1; Fulton County; Georgia,154808,5159,438,4097,1882,4364,2842,60,831500,1707,2458,1545,913,5160,44.8,5160,4439,140,298,90,2458,2443,13,121,000100,Fulton,8.49,2.11,62.86,99.39
Census Tract 114.16; Fulton County; Georgia,144444,5223,104,3840,1661,4184,2649,75,450000,2088,2036,1888,148,5258,44.1,5258,4461,185,369,180,2036,1980,13,121,011416,Fulton,1.99,2.83,92.73,97.25
Census Tract 114.17; Fulton County; Georgia,110648,4753,176,3622,1581,3891,2469,91,440400,-666666666,2177,1777,400,4763,47.7,4763,3723,588,308,310,2177,2032,13,121,011417,Fulton,3.7,3.69,81.63,93.34
Census Tract 114.19; Fulton County; Georgia,149982,5955,147,4579,1807,4933,3236,63,466000,3012,2762,2336,426,5955,51.8,5955,4968,403,156,473,2762,2674,13,121,011419,Fulton,2.47,1.95,84.58,96.81
Census Tract 114.21; Fulton County; Georgia,66923,5612,1014,3479,1104,4040,2634,168,336500,1531,1948,701,1247,5717,30.9,5717,2228,2102,163,1560,1948,1797,13,121,011421,Fulton,18.07,6.38,35.99,92.25
Census Tract 114.22; Fulton County; Georgia,114220,3580,65,2762,915,3080,2345,51,491600,1759,1617,1141,476,3629,43.7,3629,2650,373,155,230,1617,1617,13,121,011422,Fulton,1.82,2.17,70.56,100.0
Census Tract 114.23; Fulton County; Georgia,153720,6153,247,3910,1976,4636,3234,88,544900,1785,2254,1908,346,6153,38.6,6153,5156,110,341,454,2254,2254,13,121,011423,Fulton,4.01,2.72,84.65,100.0
Census Tract 114.24; Fulton County; Georgia,128839,6325,31,4033,1681,4780,3201,51,470800,1828,2201,1952,249,6325,41.0,6325,4268,948,273,661,2201,2201,13,121,011424,Fulton,0.49,1.59,88.69,100.0
Census Tract 114.26; Fulton County; Georgia,131875,2348,44,1451,609,1743,1267,87,535400,2123,727,627,100,2364,38.1,2364,1773,73,223,443,727,721,13,121,011426,Fulton,1.87,6.87,86.24,99.17
Census Tract 114.28; Fulton County; Georgia,152414,2528,22,1888,696,2148,1316,0,578100,-666666666,964,951,13,2611,46.4,2611,2083,80,249,299,964,949,13,121,011428,Fulton,0.87,0.0,98.65,98.44
Census Tract 114.29; Fulton County; Georgia,128607,5190,627,3512,1544,3939,3177,343,367800,2122,1883,1507,376,5340,36.7,5340,2837,1000,675,548,1883,1823,13,121,011429,Fulton,12.08,10.8,80.03,96.81
Census Tract 114.30; Fulton County; Georgia,48167,3887,963,2203,418,2819,2267,149,180000,1489,1460,130,1330,3887,30.5,3887,1095,1289,123,2032,1460,1309,13,121,011430,Fulton,24.77,6.57,8.9,89.66
Census Tract 114.31; Fulton County; Georgia,103775,4092,477,1529,114,2588,1931,46,310600,1403,669,360,309,4092,20.1,4092,815,87,57,3322,669,633,13,121,011431,Fulton,11.66,2.38,53.81,94.62
Census Tract 114.32; Fulton County; Georgia,87059,4081,339,2683,782,3333,2819,85,392700,1515,1612,451,1161,4095,36.3,4095,1966,1022,389,1399,1612,1597,13,121,011432,Fulton,8.31,3.02,27.98,99.07
Census Tract 114.33; Fulton County; Georgia,165500,3038,107,2193,1099,2335,1430,66,522400,-666666666,1062,1032,30,3038,46.8,3038,2393,238,41,174,1062,978,13,121,011433,Fulton,3.52,4.62,97.18,92.09
Census Tract 114.34; Fulton County; Georgia,82487,3465,61,2749,988,2939,2523,210,360200,1431,1431,1008,423,3597,36.8,3597,2020,425,227,1105,1431,1263,13,121,011434,Fulton,1.76,8.32,70.44,88.26
Census Tract 114.35; Fulton County; Georgia,92451,3911,512,2837,1085,3218,2153,97,362500,1567,1680,1033,647,3911,44.7,3911,2477,860,175,482,1680,1426,13,121,011435,Fulton,13.09,4.51,61.49,84.88
Census Tract 114.36; Fulton County; Georgia,180750,3008,262,2201,1153,2410,1677,90,469200,-666666666,1076,1076,0,3066,46.4,3066,2066,470,44,225,1076,1053,13,121,011436,Fulton,8.71,5.37,100.0,97.86
Census Tract 114.37; Fulton County; Georgia,101263,2897,309,2037,640,2458,1621,0,366900,1941,1354,629,725,2909,36.1,2909,2043,624,117,622,1354,1206,13,121,011437,Fulton,10.67,0.0,46.45,89.07
Census Tract 114.38; Fulton County; Georgia,112381,5588,579,3875,1326,4719,3896,305,497600,1680,2214,1040,1174,5588,37.4,5588,2412,906,150,1039,2214,2178,13,121,011438,Fulton,10.36,7.83,46.97,98.37
Census Tract 114.39; Fulton County; Georgia,117422,4020,237,2940,1498,3360,2180,186,568300,1773,1559,1271,288,4020,46.5,4020,3194,280,160,166,1559,1559,13,121,011439,Fulton,5.9,8.53,81.53,100.0
Census Tract 114.40; Fulton County; Georgia,180917,2407,146,1643,765,1910,1272,75,678100,1584,863,729,134,2407,46.6,2407,1728,416,94,266,863,856,13,121,011440,Fulton,6.07,5.9,84.47,99.19
Census Tract 114.41; Fulton County; Georgia,119893,3651,70,2595,1257,2877,2091,113,445900,1734,1459,999,460,3651,44.7,3651,2950,104,261,139,1459,1441,13,121,011441,Fulton,1.92,5.4,68.47,98.77
Census Tract 114.42; Fulton County; Georgia,116193,1950,44,1343,641,1494,1077,26,604700,1861,851,382,469,1950,35.6,1950,1085,686,66,53,851,807,13,121,011442,Fulton,2.26,2.41,44.89,94.83
Census Tract 114.43; Fulton County; Georgia,173036,3258,10,2027,1080,2512,1648,40,819900,2203,1059,722,337,3284,41.1,3284,1706,460,1104,28,1059,1059,13,121,011443,Fulton,0.31,2.43,68.18,100.0
Census Tract 114.44; Fulton County; Georgia,171339,3589,157,2827,1046,3064,2163,57,841200,-666666666,1541,1541,0,3589,52.1,3589,2160,368,729,113,1541,1541,13,121,011444,Fulton,4.37,2.64,100.0,100.0
Census Tract 114.45; Fulton County; Georgia,131477,2489,4,2173,817,2379,1277,29,654600,1219,1030,903,127,2758,55.3,2758,2179,396,114,68,1030,955,13,121,011445,Fulton,0.16,2.27,87.67,92.72
Census Tract 114.46; Fulton County; Georgia,202059,2969,70,1978,833,2243,1348,0,539700,-666666666,982,982,0,2969,47.5,2969,2767,80,103,100,982,972,13,121,011446,Fulton,2.36,0.0,100.0,98.98
Census Tract 115.05; Fulton County; Georgia,183000,4290,103,2814,1173,3241,2052,174,607500,-666666666,1324,1296,28,4290,41.0,4290,3369,456,256,236,1324,1324,13,121,011505,Fulton,2.4,8.48,97.89,100.0
Census Tract 115.07; Fulton County; Georgia,245139,4314,178,2581,1276,2967,1833,70,977900,-666666666,1300,1291,9,4333,41.9,4333,3397,64,231,562,1300,1291,13,121,011507,Fulton,4.13,3.82,99.31,99.31
Census Tract 115.08; Fulton County; Georgia,250001,5379,36,3741,1786,4101,3319,224,769600,-666666666,1755,1748,7,5379,49.0,5379,3510,1047,420,415,1755,1720,13,121,011508,Fulton,0.67,6.75,99.6,98.01
Census Tract 115.09; Fulton County; Georgia,226453,2422,43,1525,587,1806,1064,0,842400,-666666666,784,745,39,2422,45.5,2422,2133,84,73,159,784,784,13,121,011509,Fulton,1.78,0.0,95.03,100.0
Census Tract 115.10; Fulton County; Georgia,238145,5977,58,3972,1825,4548,2958,121,641100,-666666666,2060,2003,57,5977,43.6,5977,4286,367,874,196,2060,2060,13,121,011510,Fulton,0.97,4.09,97.23,100.0
Census Tract 115.11; Fulton County; Georgia,201538,2656,21,1637,662,1950,1269,36,766900,-666666666,804,653,151,2676,40.3,2676,1948,439,205,160,804,793,13,121,011511,Fulton,0.79,2.84,81.22,98.63
Census Tract 115.12; Fulton County; Georgia,199714,3229,65,2314,999,2630,1782,15,521300,-666666666,1084,1037,47,3229,47.8,3229,2590,131,36,258,1084,1080,13,121,011512,Fulton,2.01,0.84,95.66,99.63
Census Tract 115.13; Fulton County; Georgia,187619,3492,290,2225,1201,2655,1665,89,569700,-666666666,1108,1096,12,3492,43.3,3492,2775,287,96,199,1108,1067,13,121,011513,Fulton,8.3,5.35,98.92,96.3
Census Tract 115.14; Fulton County; Georgia,182394,3095,22,2190,1194,2344,1703,0,861300,-666666666,1127,1037,90,3095,44.8,3095,2437,230,143,171,1127,1095,13,121,011514,Fulton,0.71,0.0,92.01,97.16
Census Tract 115.15; Fulton County; Georgia,243304,2511,0,1523,447,1751,1186,0,680100,-666666666,777,744,33,2511,38.3,2511,1838,381,54,198,777,723,13,121,011515,Fulton,0.0,0.0,95.75,93.05
Census Tract 116.12; Fulton County; Georgia,186786,3513,93,2495,807,3082,1763,166,632800,-666666666,1210,1167,43,3523,51.1,3523,2464,294,648,132,1210,1210,13,121,011612,Fulton,2.65,9.42,96.45,100.0
Census Tract 116.18; Fulton County; Georgia,149881,4796,831,3259,1558,3998,2971,325,716400,1728,1628,1148,480,4826,45.5,4826,2636,497,1354,335,1628,1546,13,121,011618,Fulton,17.33,10.94,70.52,94.96
Census Tract 116.24; Fulton County; Georgia,227604,4049,71,2527,1156,3011,2129,57,615800,-666666666,1173,1147,26,4050,42.3,4050,2461,412,857,213,1173,1164,13,121,011624,Fulton,1.75,2.68,97.78,99.23
Census Tract 116.27; Fulton County; Georgia,94259,3980,31,2757,938,3326,1979,43,707800,1740,1584,1064,520,3980,45.5,3980,2034,162,1656,104,1584,1560,13,121,011627,Fulton,0.78,2.17,67.17,98.48
Census Tract 116.28; Fulton County; Georgia,144162,3517,181,2220,678,2636,1754,0,572300,1915,1207,409,798,3527,38.7,3527,1769,267,1341,189,1207,1185,13,121,011628,Fulton,5.15,0.0,33.89,98.18
Census Tract 116.29; Fulton County; Georgia,191373,4307,51,3209,951,3539,2518,73,584000,-666666666,1325,1309,16,4367,46.9,4367,2075,604,1358,154,1325,1311,13,121,011629,Fulton,1.18,2.9,98.79,98.94
Census Tract 116.30; Fulton County; Georgia,147564,3347,19,2292,873,2598,1916,127,449200,1876,1230,881,349,3347,38.7,3347,1948,401,779,131,1230,1185,13,121,011630,Fulton,0.57,6.63,71.63,96.34
Census Tract 116.31; Fulton County; Georgia,103224,6590,273,4242,1750,4656,2724,70,440400,1791,2105,1082,1023,6609,37.8,6609,3718,814,1584,380,2105,1977,13,121,011631,Fulton,4.14,2.57,51.4,93.92
Census Tract 116.32; Fulton County; Georgia,143527,3444,28,2401,967,2844,1877,0,484800,2125,1222,718,504,3444,40.9,3444,1079,280,2008,114,1222,1222,13,121,011632,Fulton,0.81,0.0,58.76,100.0
Census Tract 116.33; Fulton County; Georgia,155435,3489,17,2577,998,2904,1823,67,413300,2308,1202,1053,149,3489,36.3,3489,1422,546,597,173,1202,1202,13,121,011633,Fulton,0.49,3.68,87.6,100.0
Census Tract 116.34; Fulton County; Georgia,90469,2552,87,1545,480,1849,1299,143,357300,2191,907,463,444,2656,34.7,2656,1282,711,385,158,907,869,13,121,011634,Fulton,3.41,11.01,51.05,95.81
Census Tract 116.35; Fulton County; Georgia,173590,3131,76,2247,952,2564,2016,97,526000,-666666666,1109,1082,27,3131,43.7,3131,1031,95,1884,65,1109,1087,13,121,011635,Fulton,2.43,4.81,97.57,98.02
Census Tract 116.36; Fulton County; Georgia,100769,1900,30,1236,426,1387,1043,0,-666666666,1682,854,79,775,1900,34.2,1900,310,266,1051,333,854,848,13,121,011636,Fulton,1.58,0.0,9.25,99.3
Census Tract 116.37; Fulton County; Georgia,204654,2445,48,1735,732,2081,1452,37,664000,1711,1001,752,249,2445,46.5,2445,1714,133,559,22,1001,1001,13,121,011637,Fulton,1.96,2.55,75.12,100.0
Census Tract 116.38; Fulton County; Georgia,119842,4253,214,2889,1266,3290,2018,65,425100,1867,1516,1304,212,4253,46.3,4253,3052,88,816,751,1516,1359,13,121,011638,Fulton,5.03,3.22,86.02,89.64
Census Tract 116.39; Fulton County; Georgia,112679,2178,85,1294,723,1590,1290,31,645500,1783,818,180,638,2199,30.2,2199,1298,108,722,308,818,807,13,121,011639,Fulton,3.9,2.4,22.0,98.66
Census Tract 116.40; Fulton County; Georgia,116908,5178,271,3883,1463,4354,2955,121,574300,1896,2130,1071,1059,5238,40.1,5238,3021,706,1279,268,2130,2000,13,121,011640,Fulton,5.23,4.09,50.28,93.9
Census Tract 116.41; Fulton County; Georgia,242799,4988,101,3067,1591,4026,3021,61,768800,3501,1546,1464,82,4994,41.3,4994,4023,0,679,238,1546,1470,13,121,011641,Fulton,2.02,2.02,94.7,95.08
Census Tract 116.42; Fulton County; Georgia,138846,3293,81,2369,885,2551,1959,95,431100,2271,1256,896,360,3301,42.2,3301,1840,489,712,351,1256,1222,13,121,011642,Fulton,2.46,4.85,71.34,97.29
Census Tract 116.43; Fulton County; Georgia,85590,4376,510,3418,1455,3579,2585,116,-666666666,1650,2390,113,2277,4376,32.2,4376,859,592,2216,516,2390,2390,13,121,011643,Fulton,11.65,4.49,4.73,100.0
Census Tract 116.44; Fulton County; Georgia,114028,4128,281,2854,1001,3225,2455,20,280700,1896,1684,1229,455,4128,40.6,4128,1775,1080,932,499,1684,1684,13,121,011644,Fulton,6.81,0.81,72.98,100.0
Census Tract 116.45; Fulton County; Georgia,142372,3364,0,2316,1031,2431,2030,0,298100,2196,1378,1069,309,3364,39.0,3364,1678,1068,422,310,1378,1378,13,121,011645,Fulton,0.0,0.0,77.58,100.0
Census Tract 116.46; Fulton County; Georgia,83869,4225,244,2786,1090,3004,2021,22,470500,1760,1940,761,1179,4225,38.6,4225,1591,739,663,189,1940,1929,13,121,011646,Fulton,5.78,1.09,39.23,99.43
Census Tract 116.47; Fulton County; Georgia,76375,4805,360,3833,1405,3910,2714,105,430100,1453,2037,1169,868,4987,40.0,4987,3745,554,472,557,2037,1820,13,121,011647,Fulton,7.49,3.87,57.39,89.35
Census Tract 116.48; Fulton County; Georgia,199922,2348,59,1394,517,1748,1225,7,509000,-666666666,703,698,5,2348,40.3,2348,992,177,993,94,703,693,13,121,011648,Fulton,2.51,0.57,99.29,98.58
Census Tract 116.49; Fulton County; Georgia,171680,5246,441,3755,1495,4262,2593,36,578300,1908,1946,1662,284,5246,45.8,5246,1900,297,2601,218,1946,1946,13,121,011649,Fulton,8.41,1.39,85.41,100.0
Census Tract 116.50; Fulton County; Georgia,166488,4451,100,3396,957,3664,2863,419,594300,1700,1627,1033,594,4451,42.8,4451,1345,868,1981,205,1627,1586,13,121,011650,Fulton,2.25,14.63,63.49,97.48
Census Tract 116.51; Fulton County; Georgia,144886,1811,0,1242,387,1407,1032,36,588900,1850,654,390,264,1811,39.7,1811,1116,101,483,187,654,635,13,121,011651,Fulton,0.0,3.49,59.63,97.09
Census Tract 116.52; Fulton County; Georgia,109132,2761,128,1977,869,2176,1731,28,603700,1440,1137,595,542,2766,38.2,2766,1206,114,1263,431,1137,1070,13,121,011652,Fulton,4.64,1.62,52.33,94.11
Census Tract 116.53; Fulton County; Georgia,243819,3543,134,2672,1197,2922,1945,38,783900,-666666666,1279,1268,11,3586,50.5,3586,2885,69,272,122,1279,1279,13,121,011653,Fulton,3.78,1.95,99.14,100.0
Census Tract 116.54; Fulton County; Georgia,132604,2348,165,1795,674,1995,1571,55,423900,1722,1029,633,396,2359,44.5,2359,1647,193,309,122,1029,1029,13,121,011654,Fulton,7.03,3.5,61.52,100.0
Census Tract 116.55; Fulton County; Georgia,171875,2571,130,1798,829,2036,1447,95,585100,3501,918,772,146,2571,46.3,2571,2108,98,71,191,918,859,13,121,011655,Fulton,5.06,6.57,84.1,93.57
Census Tract 116.56; Fulton County; Georgia,178461,3870,13,2595,1024,3037,1913,79,585900,2967,1329,1271,58,3907,42.9,3907,2329,182,1217,148,1329,1329,13,121,011656,Fulton,0.34,4.13,95.64,100.0
Census Tract 116.57; Fulton County; Georgia,191645,3310,79,2118,658,2606,1823,7,502000,-666666666,949,901,48,3310,41.0,3310,1572,429,941,394,949,949,13,121,011657,Fulton,2.39,0.38,94.94,100.0
Census Tract 116.58; Fulton County; Georgia,150938,3850,683,2790,999,3144,1973,5,435000,2112,1463,1074,389,3859,44.1,3859,1673,749,793,250,1463,1375,13,121,011658,Fulton,17.74,0.25,73.41,93.98
Census Tract 116.59; Fulton County; Georgia,172409,2840,0,1760,514,1973,1355,98,597100,1905,895,701,194,2840,38.5,2840,1439,160,1098,95,895,895,13,121,011659,Fulton,0.0,7.23,78.32,100.0
Census Tract 116.60; Fulton County; Georgia,106268,4877,357,3221,1400,3574,2267,123,343400,2228,1910,1351,559,4884,37.8,4884,2461,505,1427,195,1910,1841,13,121,011660,Fulton,7.32,5.43,70.73,96.39
Census Tract 116.61; Fulton County; Georgia,204877,2233,85,1406,625,1778,1284,30,701700,1949,683,622,61,2233,42.7,2233,1705,96,162,444,683,672,13,121,011661,Fulton,3.81,2.34,91.07,98.39
Census Tract 118.01; Fulton County; Georgia,88914,624,37,528,77,604,565,0,-666666666,1765,404,0,404,624,31.5,624,221,316,0,114,404,404,13,121,011801,Fulton,5.93,0.0,0.0,100.0
Census Tract 118.02; Fulton County; Georgia,38250,1446,458,1096,141,1319,800,36,233300,1593,654,202,452,1447,34.3,1447,266,1111,0,13,654,491,13,121,011802,Fulton,31.67,4.5,30.89,75.08
Census Tract 119.01; Fulton County; Georgia,46157,1583,491,1087,298,1941,965,71,216900,1126,1031,270,761,2085,27.3,2085,632,1252,106,130,1031,787,13,121,011901,Fulton,31.02,7.36,26.19,76.33
Census Tract 119.02; Fulton County; Georgia,-666666666,1263,483,1056,342,1143,805,62,504600,1358,811,53,758,1263,33.5,1263,479,651,12,75,811,638,13,121,011902,Fulton,38.24,7.7,6.54,78.67
Census Tract 120; Fulton County; Georgia,-666666666,3658,1910,2766,527,2992,1884,174,310800,639,1711,305,1406,3683,36.1,3683,678,2681,0,154,1711,1019,13,121,012000,Fulton,52.21,9.24,17.83,59.56
Census Tract 123; Fulton County; Georgia,59914,2371,164,2010,704,2159,1685,233,352600,924,1214,538,676,2400,43.8,2400,846,1176,156,174,1214,886,13,121,012300,Fulton,6.92,13.83,44.32,72.98
Census Tract 9800; Fulton County; Georgia,-666666666,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,13,121,980000,Fulton,,,,
Census Tract 201; DeKalb County; Georgia,160500,2198,205,1320,484,1489,1108,66,915100,2595,730,484,246,2198,34.0,2198,2024,41,62,261,730,724,13,089,020100,DeKalb,9.33,5.96,66.3,99.18
Census Tract 202; DeKalb County; Georgia,105000,1960,194,1693,672,1781,1373,65,552400,1450,1080,704,376,1960,42.0,1960,1504,63,272,19,1080,1058,13,089,020200,DeKalb,9.9,4.73,65.19,97.96
Census Tract 203; DeKalb County; Georgia,161855,4504,288,2947,1083,3433,2666,260,700800,2018,1556,1277,279,4504,36.2,4504,3485,392,115,169,1556,1511,13,089,020300,DeKalb,6.39,9.75,82.07,97.11
Census Tract 204; DeKalb County; Georgia,176250,2700,66,1951,835,2209,1746,52,619900,1540,1204,960,244,2709,37.4,2709,2251,84,137,91,1204,1198,13,089,020400,DeKalb,2.44,2.98,79.73,99.5
Census Tract 205; DeKalb County; Georgia,83594,3688,255,3115,1215,3353,2642,61,429300,1341,1763,1034,729,3688,36.3,3688,1804,1455,50,189,1763,1538,13,089,020500,DeKalb,6.91,2.31,58.65,87.24
Census Tract 206; DeKalb County; Georgia,83205,2439,795,1707,458,1877,1450,98,395400,1485,1182,541,641,2439,33.7,2439,1189,1021,83,157,1182,1081,13,089,020600,DeKalb,32.6,6.76,45.77,91.46
Census Tract 207; DeKalb County; Georgia,93133,2876,379,2292,918,2424,1791,242,491800,1752,1367,637,730,2909,34.3,2909,1484,836,39,378,1367,1307,13,089,020700,DeKalb,13.18,13.51,46.6,95.61
Census Tract 208.01; DeKalb County; Georgia,167910,3152,140,2277,797,2408,1969,198,527300,1829,1053,951,102,3152,34.9,3152,2135,579,48,165,1053,974,13,089,020801,DeKalb,4.44,10.06,90.31,92.5
Census Tract 208.02; DeKalb County; Georgia,112500,4239,279,3200,1112,3408,2549,49,522300,1173,1814,1419,395,4253,38.7,4253,1936,1839,27,172,1814,1716,13,089,020802,DeKalb,6.58,1.92,78.22,94.6
Census Tract 209.01; DeKalb County; Georgia,99773,3011,382,2422,916,2532,1790,21,503600,-666666666,1518,1046,472,3027,36.3,3027,1892,600,285,102,1518,1288,13,089,020901,DeKalb,12.69,1.17,68.91,84.85
Census Tract 209.02; DeKalb County; Georgia,92583,2709,491,2009,873,2335,1701,434,443700,2223,1153,745,408,2738,33.1,2738,1557,861,203,49,1153,1122,13,089,020902,DeKalb,18.12,25.51,64.61,97.31
Census Tract 211.01; DeKalb County; Georgia,250001,5097,242,3482,1382,3781,2690,47,840700,1860,1524,1376,148,5097,42.1,5097,3588,306,832,207,1524,1492,13,089,021101,DeKalb,4.75,1.75,90.29,97.9
Census Tract 211.03; DeKalb County; Georgia,137933,4450,144,3316,1547,4310,3020,103,577800,1954,2082,1063,1019,4981,32.4,4981,3565,278,548,624,2082,2007,13,089,021103,DeKalb,3.24,3.41,51.06,96.4
Census Tract 211.04; DeKalb County; Georgia,112514,1912,314,1594,582,1737,1260,140,492900,1834,1065,620,445,1912,36.9,1912,1150,601,23,131,1065,1029,13,089,021104,DeKalb,16.42,11.11,58.22,96.62
Census Tract 212.04; DeKalb County; Georgia,35268,2926,1277,1204,40,1857,1366,21,-666666666,1385,733,49,684,2973,19.9,2973,443,29,0,2944,733,242,13,089,021204,DeKalb,43.64,1.54,6.68,33.02
Census Tract 212.08; DeKalb County; Georgia,80960,4839,238,3685,1352,4297,2866,5,342400,1818,2349,1362,987,4839,38.3,4839,2685,1061,711,208,2349,2002,13,089,021208,DeKalb,4.92,0.17,57.98,85.23
Census Tract 212.10; DeKalb County; Georgia,213750,5892,81,3958,1749,4567,2886,26,557200,3351,1997,1907,90,5892,44.4,5892,5135,191,454,141,1997,1879,13,089,021210,DeKalb,1.37,0.9,95.49,94.09
Census Tract 212.11; DeKalb County; Georgia,151458,4787,57,3516,1374,3878,2121,8,478900,1946,1969,1907,62,4787,49.4,4787,4073,171,408,69,1969,1946,13,089,021211,DeKalb,1.19,0.38,96.85,98.83
Census Tract 212.13; DeKalb County; Georgia,220429,3593,40,2278,1139,2767,1595,17,654500,-666666666,1222,1222,0,3593,44.1,3593,3385,58,64,119,1222,1222,13,089,021213,DeKalb,1.11,1.07,100.0,100.0
Census Tract 212.17; DeKalb County; Georgia,119531,2894,214,1883,839,2181,1449,58,477500,1663,983,690,293,2919,33.5,2919,1908,500,241,372,983,927,13,089,021217,DeKalb,7.39,4.0,70.19,94.3
Census Tract 212.19; DeKalb County; Georgia,177946,4686,0,3342,1398,3746,2649,68,597900,2474,1749,1531,218,4827,39.3,4827,3861,197,419,178,1749,1703,13,089,021219,DeKalb,0.0,2.57,87.54,97.37
Census Tract 212.20; DeKalb County; Georgia,114836,3655,102,2415,981,2766,1946,0,600700,1736,1525,1075,450,3655,39.0,3655,2570,635,272,127,1525,1492,13,089,021220,DeKalb,2.79,0.0,70.49,97.84
Census Tract 212.21; DeKalb County; Georgia,117831,2900,122,2185,1138,2444,2115,101,479000,1677,1348,785,563,2900,37.7,2900,1995,244,166,400,1348,1348,13,089,021221,DeKalb,4.21,4.78,58.23,100.0
Census Tract 212.22; DeKalb County; Georgia,84503,4901,1189,3628,1813,3999,2617,79,617600,1682,2667,902,1765,5045,38.4,5045,2945,1317,361,371,2667,2632,13,089,021222,DeKalb,24.26,3.02,33.82,98.69
Census Tract 212.23; DeKalb County; Georgia,125824,1848,50,1196,555,1269,839,13,606600,1834,747,360,387,1876,33.9,1876,673,105,1049,5,747,693,13,089,021223,DeKalb,2.71,1.55,48.19,92.77
Census Tract 212.24; DeKalb County; Georgia,58178,3918,633,2941,1204,3595,2262,59,290400,1633,2425,810,1615,3983,40.2,3983,1777,1203,771,157,2425,2409,13,089,021224,DeKalb,16.16,2.61,33.4,99.34
Census Tract 212.25; DeKalb County; Georgia,66591,2519,190,2016,788,2205,1914,13,226600,1665,1536,486,1050,2523,33.9,2523,802,1181,207,366,1536,1509,13,089,021225,DeKalb,7.54,0.68,31.64,98.24
Census Tract 212.26; DeKalb County; Georgia,59387,3148,125,2572,916,2858,2434,26,330700,1811,1978,263,1715,3148,33.2,3148,1176,749,998,89,1978,1752,13,089,021226,DeKalb,3.97,1.07,13.3,88.57
Census Tract 212.27; DeKalb County; Georgia,98525,5615,64,3868,1444,4177,3113,18,605600,1772,2307,887,1420,5615,33.7,5615,3121,793,1430,0,2307,2148,13,089,021227,DeKalb,1.14,0.58,38.45,93.11
Census Tract 212.28; DeKalb County; Georgia,250001,3486,20,2425,985,2609,1868,62,670700,-666666666,1118,1118,0,3486,46.0,3486,3208,0,256,48,1118,1118,13,089,021228,DeKalb,0.57,3.32,100.0,100.0
Census Tract 212.29; DeKalb County; Georgia,169531,3441,23,2133,973,2448,1460,30,612100,-666666666,1198,1176,22,3441,42.0,3441,2759,19,118,45,1198,1177,13,089,021229,DeKalb,0.67,2.05,98.16,98.25
Census Tract 212.30; DeKalb County; Georgia,112717,3947,3,3180,1360,3211,2590,20,487400,1792,1943,636,1307,3947,36.1,3947,1152,370,2352,65,1943,1864,13,089,021230,DeKalb,0.08,0.77,32.73,95.93
Census Tract 213.01; DeKalb County; Georgia,59913,3569,837,2560,601,3000,2256,22,407600,1656,1756,322,1434,3617,32.7,3617,1021,983,601,1099,1756,1427,13,089,021301,DeKalb,23.45,0.98,18.34,81.26
Census Tract 213.05; DeKalb County; Georgia,54100,5364,1516,2839,514,3530,2673,79,450400,1537,1540,511,1029,5436,25.9,5436,2045,661,409,3109,1540,1306,13,089,021305,DeKalb,28.26,2.96,33.18,84.81
Census Tract 213.06; DeKalb County; Georgia,60971,5182,976,3674,1293,4050,3226,99,294100,1431,2329,1030,1299,5182,34.3,5182,2622,871,483,1768,2329,2103,13,089,021306,DeKalb,18.83,3.07,44.22,90.3
Census Tract 213.07; DeKalb County; Georgia,73310,3797,856,2573,448,2975,2074,34,301000,1767,1261,741,520,3813,36.1,3813,1004,181,1155,1540,1261,967,13,089,021307,DeKalb,22.54,1.64,58.76,76.69
Census Tract 213.08; DeKalb County; Georgia,68162,3906,1102,2640,403,3091,2304,120,317100,1601,1477,800,677,3940,37.2,3940,1254,271,602,1977,1477,1196,13,089,021308,DeKalb,28.21,5.21,54.16,80.97
Census Tract 213.09; DeKalb County; Georgia,34610,1936,479,907,23,1243,959,0,212500,1364,487,86,401,1936,21.8,1936,659,334,132,1447,487,337,13,089,021309,DeKalb,24.74,0.0,17.66,69.2
Census Tract 213.10; DeKalb County; Georgia,37003,5424,1230,3325,390,4033,2512,88,227900,1340,1609,868,741,5445,35.6,5445,1922,114,1761,2604,1609,1028,13,089,021310,DeKalb,22.68,3.5,53.95,63.89
Census Tract 214.05; DeKalb County; Georgia,153529,4992,200,3699,1596,3896,3125,67,750300,1789,2362,1661,701,4992,34.8,4992,3868,286,252,478,2362,2240,13,089,021405,DeKalb,4.01,2.14,70.32,94.83
Census Tract 214.09; DeKalb County; Georgia,76964,4139,955,2871,416,3257,2658,66,351300,1712,1405,169,1236,4139,37.2,4139,1585,1649,140,1717,1405,1276,13,089,021409,DeKalb,23.07,2.48,12.03,90.82
Census Tract 214.10; DeKalb County; Georgia,78192,5402,562,3788,1033,4525,3891,31,333800,1730,2033,852,1181,5402,32.4,5402,3255,620,546,2475,2033,1779,13,089,021410,DeKalb,10.4,0.8,41.91,87.51
